       0.0    1      0.000000000000   1     0   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0    2   2252.078578413962   1     1   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0    3   4477.407536998782   1     2   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0    4   6675.949399770761   1     3   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0    5   8847.670039112652   1     4   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0    6  10992.534284358133   1     5   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0    7  13110.503908167424   1     6   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0    8  15201.536913252197   1     7   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0    9  17265.587459209979   1     8   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   10  19302.605979234813   1     9   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   11  21312.539174595466   1    10   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   12  23295.329682018593   1    11   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   13  25250.915291610268   1    12   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   14  27179.227658242100   1    13   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   15  29080.190499896536   1    14   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   16  30953.717314293910   1    15   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   17  32799.708673528919   1    16   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   18  34618.049173955973   1    17   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   19  36408.604127201383   1    18   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   20  38171.216082239123   1    19   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   21  39905.701263049137   1    20   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   22  41611.845998915160   1    21   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   23  43289.403212686993   1    22   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   24  44938.089018909712   1    23   0     0.0     0.0     0.0   +    ||X1Sig_g+
       0.0   25  46557.579468961245   1    24   0     0.0     0.0     0.0   +    ||X1Sig_g+
