       0.0    1      0.000000000000   1     0   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0    2   2291.337742711759   1     1   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0    3   4554.972167410302   1     2   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0    4   6790.863988370268   1     3   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0    5   8998.977276101823   1     4   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0    6  11179.274809997312   1     5   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0    7  13331.715996837793   1     6   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0    8  15456.256170376006   1     7   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0    9  17552.846549760237   1     8   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   10  19621.434363570865   1     9   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   11  21661.962804023700   1    10   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   12  23674.370593291584   1    11   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   13  25658.591035686361   1    12   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   14  27614.550502962200   1    13   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   15  29542.166353876972   1    14   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   16  31441.344331348599   1    15   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   17  33311.975509800657   1    16   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   18  35153.932883008383   1    17   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   19  36967.067692231591   1    18   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   20  38751.205593704581   1    19   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   21  40506.142760457617   1    20   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   22  42231.642000515749   1    21   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   23  43927.428961039834   1    22   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   24  45593.188470965208   1    23   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   25  47228.561059019718   1    24   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   26  48833.139668534684   1    25   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   27  50406.466576777973   1    26   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   28  51948.030515838727   1    27   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   29  53457.263984198755   1    28   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   30  54933.540732482841   1    29   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   31  56376.173406881033   1    30   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   32  57784.411335220509   1    31   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   33  59157.438446642074   1    32   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   34  60494.371326640605   1    33   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   35  61794.257423453746   1    34   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   36  63056.073443031637   1    35   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   37  64278.723997158835   1    36   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   38  65461.040605969800   1    37   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   39  66601.781205332416   1    38   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   40  67699.630373202323   1    39   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   41  68753.200576800707   1    40   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   42  69761.034854747995   1    41   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   43  70721.611502207030   1    42   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   44  71633.351529324267   1    43   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   45  72494.629930948126   1    44   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   46  73303.792158728218   1    45   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   47  74059.177643054863   1    46   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   48  74759.152792304638   1    47   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   49  75402.156606257602   1    48   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   50  75986.762860889299   1    49   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   51  76511.763663007179   1    50   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   52  76976.279822801778   1    51   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   53  77379.903494991711   1    52   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   54  77722.877045434681   1    53   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   55  78006.307680587081   1    54   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   56  78232.407968475673   1    55   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   57  78404.735716581243   1    56   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   58  78528.382051869296   1    57   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   59  78610.028803998284   1    58   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   60  78657.781642432936   1    59   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   61  78680.713338050467   1    60   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   62  78688.148704206556   1    61   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   63  78689.070411284469   1    62   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   64  78689.701598868734   1    63   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   65  78690.673527139021   1    64   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   66  78691.948115339357   1    65   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   67  78693.508056954859   1    66   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   68  78695.342492697353   1    67   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   69  78697.443568023285   1    68   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   70  78699.805204817967   1    69   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   71  78702.422507844502   1    70   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   72  78705.291421637477   1    71   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   73  78708.408512163951   1    72   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   74  78711.770819729994   1    73   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   75  78715.375756187961   1    74   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   76  78719.221030743662   1    75   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   77  78723.304595015783   1    76   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   78  78727.624601455347   1    77   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   79  78732.179371153659   1    78   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   80  78736.967368538200   1    79   0     0.0     0.0     0.0   +    ||X1Sig_+
       0.0   81  78741.987181115590   1    80   0     0.0     0.0     0.0   +    ||X1Sig_+
       1.0    1      3.847183029396   1     0   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0    2   2295.151901772517   1     1   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0    3   4558.753203141702   1     2   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0    4   6794.611802256131   1     3   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0    5   9002.691767108694   1     4   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0    6  11182.955872369483   1     5   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0    7  13335.363518772931   1     6   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0    8  15459.870033321769   1     7   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0    9  17556.426628071313   1     8   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   10  19624.980524292077   1     9   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   11  21665.474906599084   1    10   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   12  23677.848489038959   1    11   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   13  25662.034566917442   1    12   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   14  27617.959501667319   1    13   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   15  29545.540639929131   1    14   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   16  31444.683710211721   1    15   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   17  33315.279769754248   1    16   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   18  35157.201791917942   1    17   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   19  36970.300993909455   1    18   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   20  38754.403003912121   1    19   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   21  40509.303962600534   1    20   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   22  42234.766641082148   1    21   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   23  43930.516644821546   1    22   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   24  45596.238756092789   1    23   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   25  47231.573451828772   1    24   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   26  48836.113618265896   1    25   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   27  50409.401470100092   1    26   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   28  51950.925671167461   1    27   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   29  53460.118645772374   1    28   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   30  54936.354064140447   1    29   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   31  56378.944485478678   1    30   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   32  57787.139143607885   1    31   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   33  59160.121866113892   1    32   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   34  60497.009128765763   1    33   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   35  61796.848261179293   1    34   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   36  63058.615840951541   1    35   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   37  64281.216340833715   1    36   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   38  65463.481130184140   1    37   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   39  66604.167981181527   1    38   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   40  67701.961293916698   1    39   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   41  68755.473342244179   1    40   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   42  69763.246954577582   1    41   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   43  70723.760197767871   1    42   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   44  71635.433834482814   1    43   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   45  72496.642592275137   1    44   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   46  73305.731635746240   1    45   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   47  74061.040089716975   1    46   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   48  74760.934041513421   1    47   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   49  75403.852160132767   1    48   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   50  75988.367890702910   1    49   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   51  76513.273024264898   1    50   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   52  76977.688092817538   1    51   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   53  77381.205042219823   1    52   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   54  77724.066141031130   1    53   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   55  78007.378661465351   1    54   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   56  78233.355454257326   1    55   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   57  78405.554865201819   1    56   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   58  78529.068803810689   1    57   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   59  78610.580008210556   1    58   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   60  78658.194876692171   1    59   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   61  78680.986086677643   1    60   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   62  78688.275444244733   1    61   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   63  78689.114163526028   1    62   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   64  78689.756283666022   1    63   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   65  78690.734637313450   1    64   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   66  78692.013886601519   1    65   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   67  78693.577609760323   1    66   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   68  78695.415291047131   1    67   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   69  78697.519239103887   1    68   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   70  78699.883468362532   1    69   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   71  78702.503143239315   1    70   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   72  78705.374249904227   1    71   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   73  78708.493385129870   1    72   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   74  78711.857612738095   1    73   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   75  78715.464363590829   1    74   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   76  78719.311362525856   1    75   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   77  78723.396576335057   1    76   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   78  78727.718173233661   1    77   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   79  78732.274504128465   1    78   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   80  78737.064105198908   1    79   0     0.0     0.0     0.0   -    ||X1Sig_+
       1.0   81  78742.086104558985   1    80   0     0.0     0.0     0.0   -    ||X1Sig_+
       2.0    1     11.541420292172   1     0   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0    2   2302.780090893150   1     1   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0    3   4566.315145378452   1     2   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0    4   6802.107300556578   1     3   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0    5   9010.120619384435   1     4   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0    6  11190.317867086836   1     5   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0    7  13342.658432303551   1     6   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0    8  15467.097628536058   1     7   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0    9  17563.586653653088   1     8   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   10  19632.072714304471   1     9   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   11  21672.498979901771   1    10   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   12  23684.804148237105   1    11   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   13  25668.921496601033   1    12   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   14  27624.777365779235   1    13   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   15  29552.289078171831   1    14   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   16  31451.362333462755   1    15   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   17  33321.888154513428   1    16   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   18  35163.739473847083   1    17   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   19  36976.767460552517   1    18   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   20  38760.797686697755   1    19   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   21  40515.626228231660   1    20   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   22  42241.015782409922   1    21   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   23  43936.691871286996   1    22   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   24  45602.339183794989   1    23   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   25  47237.598093255685   1    24   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   26  48842.061371693126   1    25   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   27  50415.271108634137   1    26   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   28  51956.715831381880   1    27   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   29  53465.827815856152   1    28   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   30  54941.980571451139   1    29   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   31  56384.486483371096   1    30   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   32  57792.594597383497   1    31   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   33  59165.488537917947   1    32   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   34  60502.284561239976   1    33   0     0.0     0.0     0.0   +    ||X1Sig_+
       2.0   35  61802.029759662364   1    34   0     0.0     0.0     0.0   +    ||X1Sig_+
